Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Attach Point
	Frame	X pixels	Y pixels	
	19	1260.98	352.052	
	20	1249.85	353.243	
	21	1238.34	354.669	
	22	1225.91	356.352	
	23	1213.47	358.52	
	24	1202.03	360.942	
	25	1190.88	362.587	
	26	1179.37	361.188	
	27	1167.87	357.188	
	28	1153.37	352.688	
	35	1070.37	339.688	
	36	1049.37	335.188	
	37	1034.37	330.188	
	38	1022.12	329.688	
	39	1012.87	330.868	
	40	996.648	328.489	
	41	980.878	328.794	
	42	964.546	329.497	
	43	948.367	331.052	
	44	931.585	332.473	
	45	913.855	332.931	
	46	896.023	330.38	
	47	877.148	325.005	
	48	858.773	320.255	
	49	841.273	313.755	
	50	823.773	311.755	
	51	805.519	307.755	
	52	788.734	307.61	
	53	778.734	307.235	
	54	769.234	306.895	
	55	760.906	306.63	
	56	753.23	306.907	
	57	745.925	307.79	
	58	739.331	309.212	
	59	733.023	310.95	
	60	726.234	312.251	
	61	719.566	313.575	
	62	713.41	315.235	
	63	707.374	317.622	
	64	702.101	319.688	
	65	696.808	321.544	
	66	691.749	323.184	
	67	686.519	324.446	
	68	680.706	323.747	
	69	674.917	321.513	
	70	670.335	318.665	
	71	665.554	315.235	
	72	659.699	312.841	
	73	653.781	313.181	
	74	647.265	314.919	
	75	640.847	316.727	
	76	634.964	317.356	
	77	629.531	316.716	
	78	623.702	315.442	
	79	618.742	314.716	
	80	614.179	314.001	
	81	610.628	314.411	
	82	608.441	315.786	
	83	606.913	318.286	
	84	605.488	322.024	
	85	603.382	326.759	
	86	600.304	331.692	
	87	597.035	335.513	
	88	593.316	337.868	
	89	589.218	339.528	
	90	585.074	340.813	
	91	579.234	342.966	
	92	573.113	345.438	
	94	550.113	346.438	
	95	540.113	355.438	
	96	544.765	345.583	
	97	540.331	349.009	
	98	536.402	350.653	
	99	533.031	353.661	
	100	530.12	357.165	
	101	528.374	359.743	
	102	527.605	361.571	
	103	527.21	362.481	
	104	527.199	362.583	
	105	527.808	361.829	
	106	528.652	360.989	
	107	530.109	360.852	
	108	533.347	361.403	
	109	538.105	362.239	
	110	543.167	362.587	
	111	548.113	362.294	
	112	552.355	362.016	
	113	556.859	361.915	
	114	561.41	362.962	
	115	566.699	365.915	
	116	572.011	370.985	
	117	577.972	376.747	
	118	582.855	380.731	
	119	586.972	382.348	
	120	591.288	382.227	
	121	595.691	381.134	
	122	599.32	380.462	
	123	602.726	380.403	
	124	605.136	380.567	
	125	607.202	380.501	
	126	608.796	380.325	
	127	610.331	379.423	
	128	611.656	376.895	
	129	612.613	373.294	
	130	613.589	370.075	
	131	614.359	367.852	
	132	614.972	366.946	
	133	615.296	366.528	
	134	615.32	366.325	
	135	614.577	366.141	
	136	613.37	366.376	
	137	612.46	366.458	
	138	611.136	366.009	
	139	609.456	365.532	
	140	608.21	365.376	
	141	607.312	364.423	
	142	606.613	363.001	
	143	605.745	361.966	
	144	605.011	361.895	
	145	604.374	362.727	
	146	603.699	363.907	
	147	603.101	365.22	
	148	602.757	366.723	
	149	602.761	367.88	
	150	602.734	368.114	
	151	602.742	368.27	
	152	602.734	368.763	
	153	602.827	369.329	
	154	602.937	369.841	
	155	603.206	370.157	
	156	603.398	370.169	
	157	603.593	370.337	
	158	603.859	370.872	
	159	604.148	371.165	
	160	604.589	371.755	
	161	604.796	372.38	
	162	605.054	373.313	
	163	605.202	373.798	
	164	605.37	373.962	
	165	605.48	374.052	
	166	605.742	374.735	
	167	606.011	375.251	
